ID,CONFIDENCE,NUMBER,VOTE
286,1.0,yes (1 - 0),yes (1 - 0)
287,1.0,yes (1 - 0),yes (63 - 0)
288,1.0,yes (1 - 0),yes (1 - 0)
289,-1.0,no (0 - 1),no (0 - 1)
290,-1.0,no (0 - 1),no (0 - 1)
291,-1.0,no (0 - 1),no (0 - 1)
292,1.0,yes (1 - 0),yes (1 - 0)
293,1.0,yes (1 - 0),yes (1 - 0)
294,1.0,yes (1 - 0),yes (1 - 0)
295,-1.0,no (0 - 1),no (0 - 1)
296,-1.0,no (0 - 1),no (0 - 1)
297,1.0,yes (1 - 0),yes (1 - 0)
298,-1.0,no (0 - 1),no (0 - 2)
299,-1.0,no (0 - 2),no (0 - 2)
300,1.0,yes (1 - 0),yes (1 - 0)
301,1.0,yes (1 - 0),yes (1 - 0)
302,1.0,yes (1 - 0),yes (1 - 0)
303,1.0,yes (1 - 0),yes (3 - 0)
304,1.0,yes (1 - 0),yes (3 - 0)
305,1.0,yes (1 - 0),yes (1 - 0)
306,-1.0,no (0 - 1),no (0 - 1)
307,1.0,yes (1 - 0),yes (3 - 0)
308,1.0,yes (1 - 0),yes (3 - 0)
309,1.0,yes (1 - 0),yes (3 - 0)
310,-0.1111111111111111,no (1 - 1),no (4 - 5)
311,1.0,yes (1 - 0),yes (3 - 0)
312,1.0,yes (1 - 0),yes (1 - 0)
313,1.0,yes (1 - 0),yes (1 - 0)
314,1.0,yes (1 - 0),yes (1 - 0)
315,1.0,yes (1 - 0),yes (5 - 0)
316,1.0,yes (1 - 0),yes (5 - 0)
317,1.0,yes (1 - 0),yes (5 - 0)
318,-1.0,no (0 - 1),no (0 - 4)
319,-1.0,no (0 - 1),no (0 - 4)
320,1.0,yes (1 - 0),yes (4 - 0)
321,-1.0,no (0 - 1),no (0 - 4)
322,1.0,yes (1 - 0),yes (4 - 0)
323,-1.0,no (0 - 1),no (0 - 4)
324,1.0,yes (1 - 0),yes (4 - 0)
325,1.0,yes (1 - 0),yes (4 - 0)
326,1.0,yes (1 - 0),yes (2 - 0)
327,1.0,yes (1 - 0),yes (1 - 0)
328,1.0,yes (1 - 0),yes (1 - 0)
329,-1.0,no (0 - 1),no (0 - 1)
330,1.0,yes (1 - 0),yes (1 - 0)
331,1.0,yes (1 - 0),yes (1 - 0)
332,1.0,yes (1 - 0),yes (1 - 0)
333,-1.0,no (0 - 1),no (0 - 1)
334,-1.0,no (0 - 1),no (0 - 3)
335,1.0,yes (1 - 0),yes (1 - 0)
336,1.0,yes (1 - 0),yes (1 - 0)
337,1.0,yes (1 - 0),yes (2 - 0)
338,1.0,yes (1 - 0),yes (1 - 0)
339,1.0,yes (1 - 0),yes (1 - 0)
340,1.0,yes (1 - 0),yes (1 - 0)
341,1.0,yes (1 - 0),yes (1 - 0)
342,-1.0,no (0 - 2),no (0 - 2)
343,0.0,yes (2 - 1),no (2 - 2)
344,-1.0,no (0 - 1),no (0 - 1)
345,-1.0,no (0 - 1),no (0 - 1)
346,-1.0,no (0 - 1),no (0 - 1)
347,-1.0,no (0 - 1),no (0 - 1)
348,1.0,yes (1 - 0),yes (1 - 0)
349,1.0,yes (1 - 0),yes (8 - 0)
350,1.0,yes (1 - 0),yes (8 - 0)
351,1.0,yes (1 - 0),yes (1 - 0)
352,-1.0,no (0 - 1),no (0 - 1)
353,1.0,yes (1 - 0),yes (1 - 0)
354,1.0,yes (1 - 0),yes (1 - 0)
355,1.0,yes (1 - 0),yes (1 - 0)
356,-1.0,no (0 - 1),no (0 - 63)
